"Id","OwnerId","IsDeleted","Name","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","SystemModstamp","LastViewedDate","LastReferencedDate","nFORCE__Label__c","nFORCE__Order__c","nFORCE__Question__c","nFORCE__lookupKey__c","nFORCE__Api_Value__c","nFORCE__Is_Default__c"
"a2z8c000000BlfmAAC","0058c00000BxeO9AAJ","false","O-001254","2024-03-05T13:23:10.000Z","0058c00000BxeO9AAJ","2025-07-10T00:09:47.000Z","0058c00000BxeO9AAJ","2025-07-10T00:09:47.000Z","","","Yes","1.0","a308c000000BgpuAAC","a2zHo0000022d9fIAA","","false"
"a2z8c000000BlfnAAC","0058c00000BxeO9AAJ","false","O-001255","2024-03-05T13:23:10.000Z","0058c00000BxeO9AAJ","2025-07-10T00:09:47.000Z","0058c00000BxeO9AAJ","2025-07-10T00:09:47.000Z","","","Yes","1.0","a308c000000BgpvAAC","a2zHo0000022d9gIAA","","false"
"a2z8c000000BlfoAAC","0058c00000BxeO9AAJ","false","O-001256","2024-03-05T13:23:10.000Z","0058c00000BxeO9AAJ","2025-07-10T00:09:47.000Z","0058c00000BxeO9AAJ","2025-07-10T00:09:47.000Z","","","Yes","1.0","a308c000000BgpVAAS","a2zHo0000022d9hIAA","","false"
"a2z8c000000BlfpAAC","0058c00000BxeO9AAJ","false","O-001257","2024-03-05T13:23:10.000Z","0058c00000BxeO9AAJ","2025-07-10T00:09:47.000Z","0058c00000BxeO9AAJ","2025-07-10T00:09:47.000Z","","","Yes, this Loan is not HVCRE reportable.","1.0","a308c000000Bgq8AAC","a2zHo0000022d9iIAA","","false"
"a2z8c000000BlfqAAC","0058c00000BxeO9AAJ","false","O-001258","2024-03-05T13:23:10.000Z","0058c00000BxeO9AAJ","2025-07-10T00:09:47.000Z","0058c00000BxeO9AAJ","2025-07-10T00:09:47.000Z","","","Yes","1.0","a308c000000BgpmAAC","a2zHo0000022d9jIAA","","false"
"a2z8c000000BlfrAAC","0058c00000BxeO9AAJ","false","O-001259","2024-03-05T13:23:10.000Z","0058c00000BxeO9AAJ","2025-07-10T00:09:47.000Z","0058c00000BxeO9AAJ","2025-07-10T00:09:47.000Z","","","Yes","1.0","a308c000000BgpnAAC","a2zHo0000022d9kIAA","","false"
"a2z8c000000BlfsAAC","0058c00000BxeO9AAJ","false","O-001260","2024-03-05T13:23:10.000Z","0058c00000BxeO9AAJ","2025-07-10T00:09:47.000Z","0058c00000BxeO9AAJ","2025-07-10T00:09:47.000Z","","","No","2.0","a308c000000BgpoAAC","a2zHo0000022d9mIAA","","false"
"a2z8c000000BlftAAC","0058c00000BxeO9AAJ","false","O-001261","2024-03-05T13:23:10.000Z","0058c00000BxeO9AAJ","2025-07-10T00:09:47.000Z","0058c00000BxeO9AAJ","2025-07-10T00:09:47.000Z","","","No","2.0","a308c000000BgppAAC","a2zHo0000022d9lIAA","","false"
"a2z8c000000BlfuAAC","0058c00000BxeO9AAJ","false","O-001262","2024-03-05T13:23:10.000Z","0058c00000BxeO9AAJ","2025-07-10T00:09:47.000Z","0058c00000BxeO9AAJ","2025-07-10T00:09:47.000Z","","","No","2.0","a308c000000BgpqAAC","a2zHo0000022d9nIAA","","false"
"a2z8c000000BlfvAAC","0058c00000BxeO9AAJ","false","O-001263","2024-03-05T13:23:10.000Z","0058c00000BxeO9AAJ","2025-07-10T00:09:47.000Z","0058c00000BxeO9AAJ","2025-07-10T00:09:47.000Z","","","Yes","1.0","a308c000000Bgq9AAC","a2zHo0000022d9oIAA","","false"
"a2z8c000000BlfwAAC","0058c00000BxeO9AAJ","false","O-001264","2024-03-05T13:23:10.000Z","0058c00000BxeO9AAJ","2025-07-10T00:09:47.000Z","0058c00000BxeO9AAJ","2025-07-10T00:09:47.000Z","","","No","2.0","a308c000000BgpjAAC","a2zHo0000022d9pIAA","","false"
"a2z8c000000BlfxAAC","0058c00000BxeO9AAJ","false","O-001265","2024-03-05T13:23:10.000Z","0058c00000BxeO9AAJ","2025-07-10T00:09:47.000Z","0058c00000BxeO9AAJ","2025-07-10T00:09:47.000Z","","","No","2.0","a308c000000Bgz4AAC","a2zHo0000022d9qIAA","","false"
"a2z8c000000BlfyAAC","0058c00000BxeO9AAJ","false","O-001266","2024-03-05T13:23:11.000Z","0058c00000BxeO9AAJ","2025-07-10T00:09:47.000Z","0058c00000BxeO9AAJ","2025-07-10T00:09:47.000Z","","","Yes","1.0","a308c000000Bgz9AAC","a2z4x0000001Vu2AAE","","false"
"a2z8c000000BlfzAAC","0058c00000BxeO9AAJ","false","O-001267","2024-03-05T13:23:11.000Z","0058c00000BxeO9AAJ","2025-07-10T00:09:47.000Z","0058c00000BxeO9AAJ","2025-07-10T00:09:47.000Z","","","Yes","1.0","a308c000000BgzAAAS","a2z4x0000001Vu3AAE","","false"
